"","master.timestamps","file.avg"
"1",1554754080,5.07577133
"2",1554834120,5.088124
"3",1554924240,5.41054884740453
"4",1555016700,6.720502
"5",1555078980,2.91995099872703
"6",1555165860,2.57972264
"7",1555276080,5.28701583008703
"8",1555349100,4.59357548
"9",1555431420,3.703579
"10",1555522560,4.4239930143267
"11",1555591380,2.41999082264511
"12",1555689000,3.4557457
"13",1555783560,3.96627775335751
"14",1555856280,2.52287392953134
"15",1555964460,5.38162231
"16",1556033040,3.41326929094934
"17",1556147460,6.03962783000824
"18",1556212380,5.714693
"19",1556312580,5.21081066
"20",1556385060,3.45703125
"21",1556476440,3.87810340647191
"22",1556565540,5.218915
"23",1556643840,4.870194
"24",1556731320,4.94056368
"25",1556817960,4.91036529181421
"26",1556896800,2.97355
"27",1557003540,4.69697952
"28",1557079980,3.30879037259522
"29",1557155700,2.47916961
"30",1557259920,3.83010704279047
"31",1557335460,3.323501
"32",1557427020,3.86365633681015
"33",1557516060,3.73925765662524
"34",1557584940,2.10521136997491
"35",1557688800,3.36888647
"36",1557757860,2.15962481
"37",1557861900,3.28288698413573
"38",1557954240,2.95706017997167
"39",1558023780,2.84454346531638
"40",1558114380,3.33455862868981
"41",1558189680,2.15968037
"42",1558289160,2.91586757
"43",1558383420,3.75908136
"44",1558455360,3.48324537
"45",1558553340,4.44500971
"46",1558631760,3.87589931
"47",1558730460,3.99566336626993
"48",1558814640,4.12410424679016
"49",1558893900,3.050963
"50",1558985880,3.80165413030597
"51",1559066880,3.84862328
"52",1559139000,2.20221567
"53",1559246700,3.34149885
"54",1559313360,2.23187774344971
"55",1559417940,3.25941096759303
"56",1559499600,2.82538856914196
"57",1559592960,2.91885048464463
"58",1559665620,2.72952818018596
"59",1559741640,2.10039341193183
"60",1559827020,2.18463485309999
"61",1559910600,2.23116851
"62",1560024960,3.55415780496
"63",1560104160,3.00457952257924
"64",1560183000,2.91575551
"65",1560284520,3.36894274
"66",1560373560,3.25313044
"67",1560435180,2.15806830196273
"68",1560535500,3.46884192245738
"69",1560610860,2.2551336445303
"70",1560698280,2.54493536256888
"71",1560787920,3.02044487
"72",1560868740,2.38692569188275
"73",1560947700,2.14716053
"74",1561063680,3.42668132692726
"75",1561145760,3.50113153
"76",1561226700,3.06577878416838
"77",1561293240,2.19598959516871
"78",1561383480,2.10177469
"79",1561395180,2.93265556198525
"80",1561402620,3.33133688202872
"81",1561470420,2.11578687394295
"82",1561481940,2.88940082212402
"83",1561489320,3.12151758012724
"84",1561555200,2.12960570106097
"85",1561642680,2.10032129
"86",1561655040,2.88314670438358
"87",1561663080,3.18986399783469
"88",1561728420,2.15962481
"89",1561741680,3.07974815
"90",1561749300,3.28515768
"91",1561842360,3.50403786
"92",1561900980,2.18153597555413
"93",1561988520,2.15325214712496
"94",1562000520,3.05096245
"95",1562007780,3.40069
"96",1562073720,2.2487285791903
"97",1562087220,3.18854407974415
"98",1562094000,3.501132
"99",1562170680,2.94739175
"100",1562261100,2.81799722
"101",1562332020,2.20755074675045
"102",1562443560,3.92564487
"103",1562513100,2.3554959461457
