"","master.timestamps","file.avg"
"1",1554754080,NA
"2",1554834120,2
"3",1554924240,NA
"4",1555016700,3.3
"5",1555078980,NA
"6",1555165860,2.8
"7",1555276080,NA
"8",1555349100,NA
"9",1555431420,4.6
"10",1555522560,NA
"11",1555591380,NA
"12",1555689000,NA
"13",1555783560,2.8
"14",1555856280,NA
"15",1555964460,NA
"16",1556033040,2
"17",1556147460,NA
"18",1556212380,1.7
"19",1556312580,NA
"20",1556385060,2.3
"21",1556476440,NA
"22",1556565540,NA
"23",1556643840,2.9
"24",1556731320,NA
"25",1556817960,3
"26",1556896800,NA
"27",1557003540,2.6
"28",1557079980,NA
"29",1557155700,NA
"30",1557259920,7.2
"31",1557335460,NA
"32",1557427020,2.9
"33",1557516060,NA
"34",1557584940,2.7
"35",1557688800,NA
"36",1557757860,NA
"37",1557861900,3.6
"38",1557954240,NA
"39",1558023780,3
"40",1558114380,NA
"41",1558189680,2.9
"42",1558289160,NA
"43",1558383420,NA
"44",1558455360,3.3
"45",1558553340,NA
"46",1558631760,3.5
"47",1558730460,NA
"48",1558814640,2.2
"49",1558893900,NA
"50",1558985880,NA
"51",1559066880,1.7
"52",1559139000,NA
"53",1559246700,2.3
"54",1559313360,NA
"55",1559417940,2.4
"56",1559499600,NA
"57",1559592960,NA
"58",1559665620,2.6
"59",1559741640,2.6
"60",1559827020,NA
"61",1559910600,2.3
"62",1560024960,2.9
"63",1560104160,NA
"64",1560183000,NA
"65",1560284520,NA
"66",1560373560,NA
"67",1560435180,NA
"68",1560535500,NA
"69",1560610860,NA
"70",1560698280,NA
"71",1560787920,NA
"72",1560868740,NA
"73",1560947700,NA
"74",1561063680,NA
"75",1561145760,NA
"76",1561226700,2.7
"77",1561293240,2.7
"78",1561383480,NA
"79",1561395180,NA
"80",1561402620,NA
"81",1561470420,NA
"82",1561481940,4
"83",1561489320,4
"84",1561555200,4
"85",1561642680,NA
"86",1561655040,3.4
"87",1561663080,3.4
"88",1561728420,3.4
"89",1561741680,NA
"90",1561749300,NA
"91",1561842360,3.1
"92",1561900980,3.1
"93",1561988520,NA
"94",1562000520,NA
"95",1562007780,NA
"96",1562073720,NA
"97",1562087220,3.7
"98",1562094000,3.7
"99",1562170680,NA
"100",1562261100,2.3
"101",1562332020,2.3
"102",1562443560,2.8
"103",1562513100,NA
"104",1562592900,NA
"105",1562605380,NA
"106",1562612880,NA
"107",1562702760,NA
"108",1562765580,NA
"109",1562778480,NA
"110",1562785020,NA
"111",1562851920,NA
"112",1562864280,NA
"113",1562871360,NA
"114",1562938140,NA
"115",1562950800,NA
"116",1562958000,NA
"117",1563034860,NA
"118",1563111300,NA
"119",1563123900,NA
"120",1563131040,NA
"121",1563197700,NA
"122",1563210180,NA
"123",1563217200,NA
"124",1563281040,NA
"125",1563368940,NA
"126",1563456540,NA
"127",1563469560,NA
"128",1563476520,NA
"129",1563563700,NA
"130",1563629280,NA
"131",1563642540,NA
"132",1563649500,NA
"133",1563712980,NA
"134",1563802020,NA
"135",1563814620,NA
"136",1563821940,NA
"137",1563888420,NA
"138",1563900900,2.7
"139",1563908040,2.7
"140",1563977100,NA
"141",1563987240,NA
"142",1563994620,NA
"143",1564062120,NA
"144",1564073460,NA
"145",1564081320,NA
"146",1564154220,NA
"147",1564255080,NA
"148",1564317600,NA
"149",1564407300,NA
"150",1564419780,NA
"151",1564426380,NA
"152",1564493640,NA
"153",1564505700,2.1
"154",1564513680,2.1
"155",1564579920,2.1
"156",1564592400,NA
"157",1564599660,NA
"158",1564666680,NA
"159",1564678740,3.7
"160",1564686540,3.7
"161",1564772880,NA
"162",1564858680,2.6
"163",1564950060,NA
"164",1565022120,NA
"165",1565102340,3.5
"166",1565197740,NA
"167",1565327400,3.2
"168",1565331240,3.2
"169",1565420760,NA
"170",1565544840,NA
"171",1565637120,NA
"172",1565705160,6.1
"173",1565793240,NA
"174",1565875200,NA
"175",1565966100,NA
"176",1566075960,4
"177",1566145140,NA
"178",1566231120,NA
"179",1566314220,NA
"180",1566407520,NA
"181",1566504960,4.3
"182",1566566880,4.3
"183",1566659400,4.6
"184",1566736200,4.6
"185",1566851580,NA
"186",1566911520,NA
"187",1566998040,NA
"188",1567094820,3
"189",1567168680,3
"190",1567254660,NA
"191",1567354080,NA
"192",1567452540,NA
"193",1567520460,3.1
"194",1567625400,NA
"195",1567708800,3.2
"196",1567781100,NA
"197",1567873020,1.8
"198",1567952640,NA
"199",1568038680,NA
"200",1568122320,NA
"201",1568261640,NA
"202",1568315820,2.6
"203",1568363040,2.6
