"","master.timestamps","file.avg"
"1",1516290300,NA
"2",1516396260,NA
"3",1516649640,NA
"4",1516738920,NA
"5",1516816320,NA
"6",1516896540,NA
"7",1516995420,NA
"8",1517256420,NA
"9",1517341500,NA
"10",1517411820,NA
"11",1517505960,NA
"12",1517601900,NA
"13",1517851560,NA
"14",1517941800,NA
"15",1518117900,NA
"16",1518210840,NA
"17",1518543600,NA
"18",1518719820,NA
"19",1518812280,NA
"20",1519154520,NA
"21",1519324260,NA
"22",1519414080,NA
"23",1519764780,NA
"24",1519831560,NA
"25",1519926240,NA
"26",1520370360,NA
"27",1520545440,NA
"28",1520610060,NA
"29",1520876400,NA
"30",1520970840,NA
"31",1521146220,NA
"32",1521404700,NA
"33",1521484500,NA
"34",1521493260,NA
"35",1521567060,NA
"36",1521650160,NA
"37",1521741360,NA
"38",1521829860,NA
"39",1521907020,NA
"40",1521998040,NA
"41",1522084380,NA
"42",1522172580,NA
"43",1522258380,NA
"44",1522347000,NA
"45",1522426800,NA
"46",1522510260,NA
"47",1522596900,NA
"48",1522692720,NA
"49",1522776540,NA
"50",1522861920,NA
"51",1522958220,NA
"52",1523031720,NA
"53",1523114460,NA
"54",1523208420,NA
"55",1523303160,NA
"56",1523376540,NA
"57",1523465160,NA
"58",1523551740,NA
"59",1523639940,NA
"60",1523722380,NA
"61",1523809380,NA
"62",1523908260,NA
"63",1523986860,NA
"64",1524070200,NA
"65",1524160440,NA
"66",1524244920,NA
"67",1524333060,NA
"68",1524412380,NA
"69",1524506400,NA
"70",1524592080,NA
"71",1524674640,NA
"72",1524759480,NA
"73",1524853980,NA
"74",1524933960,NA
"75",1525017000,NA
"76",1525117620,NA
"77",1525192800,NA
"78",1525276020,NA
"79",1525365600,NA
"80",1525452720,NA
"81",1525539360,NA
"82",1525621440,NA
"83",1525711740,NA
"84",1525801080,NA
"85",1525883760,NA
"86",1525932060,NA
"87",1526055420,NA
"88",1526143080,NA
"89",1526229420,NA
"90",1526314980,NA
"91",1526399820,NA
"92",1526497320,NA
"93",1526572320,NA
"94",1526666700,NA
"95",1526745600,NA
"96",1526829000,NA
"97",1526919780,NA
"98",1527009960,NA
"99",1527097380,NA
"100",1527182100,NA
"101",1527269820,NA
"102",1527347760,0.400690398400127
"103",1527436740,0.304139480782798
"104",1527523020,0.2924634779872
"105",1527615420,0.32
"106",1527703200,0.565940176041346
"107",1527786720,0.65862601839428
"108",1527873360,0.404701922317942
"109",1527961620,0.130545866225989
"110",1528041720,0.135494291074409
"111",1528130160,0.175767788449151
"112",1528216740,0.311014375171693
"113",1528304820,0.190116161618408
"114",1528381380,0.1
"115",1528487400,1.64919033578818
"116",1528555920,0.116679266037901
"117",1528635540,0.204871613263421
"118",1528750920,2.13427373568112
"119",1528810080,0.214795298561084
"120",1528822200,24.4172544582921
"121",1528908000,0.270699289102703
"122",1528908060,0.27375161132472
"123",1528918140,1.65379181917421
"124",1528989360,0.1
